,POPC Outer,POPC Inner,POPE Outer,POPE Inner
1,316,283,332,259
2,315,247,358,218
3,294,263,334,234
4,335,246,346,250
5,332,260,336,239
6,320,249,353,232
7,338,250,336,252
8,305,240,331,245
9,338,237,354,234
10,319,264,331,253
11,328,248,322,253
12,307,266,328,232
13,344,252,329,256
14,339,237,330,238
15,325,252,333,250
16,341,252,330,266
17,331,250,343,243
18,340,253,329,252
19,325,248,335,252
20,329,250,318,235
21,333,249,342,217
22,338,253,344,237
23,328,244,346,241
24,330,248,328,246
25,335,237,326,243
26,331,225,332,242
27,330,236,310,241
28,341,226,325,240
29,328,228,313,239
30,334,223,337,221
31,330,244,334,247
32,335,231,326,255
33,328,234,321,249
34,311,241,327,250
35,333,224,319,240
36,331,243,329,240
37,314,255,313,237
38,337,252,323,247
39,325,254,339,222
40,325,240,321,236
41,332,254,327,238
42,336,256,329,233
43,325,243,314,225
44,321,246,316,249
45,331,243,312,246
46,318,248,338,232
47,335,248,331,247
48,329,246,317,234
49,348,243,328,251
50,334,243,327,249
51,324,252,319,243
52,336,247,327,237
53,331,252,319,236
54,351,237,311,251
55,342,238,312,249
56,334,242,318,255
57,341,241,307,256
58,336,235,312,254
59,337,243,322,237
60,335,259,331,258
61,325,245,317,255
62,325,263,353,240
63,332,239,328,258
64,328,254,318,253
65,341,239,329,261
66,328,238,327,251
67,338,237,327,243
68,335,234,324,245
69,331,238,332,248
70,322,243,325,253
71,328,242,310,258
72,322,231,309,264
73,337,233,309,249
74,345,236,333,241
75,340,244,308,235
76,319,229,308,253
77,341,237,316,256
78,344,233,312,251
79,337,237,318,252
80,346,231,324,249
81,346,243,318,249
82,325,237,333,246
83,338,232,326,254
84,327,237,310,270
85,341,235,327,249
86,337,243,319,260
87,314,239,325,260
88,334,224,314,247
89,333,228,309,249
90,350,207,293,257
91,362,236,312,252
92,337,231,318,248
93,343,229,311,250
94,353,225,314,252
95,349,225,289,263
96,354,226,295,266
97,353,233,306,290
98,352,227,308,268
99,341,221,295,270
100,347,231,303,264
101,350,235,310,267
102,362,224,309,275
103,343,228,298,263
104,357,223,301,274
105,345,229,328,263
106,352,233,314,258
107,359,223,305,278
108,374,224,311,264
109,358,226,305,284
110,345,211,297,260
111,362,204,285,277
112,356,220,310,263
113,354,223,321,269
114,359,215,294,271
115,363,223,297,277
116,355,224,301,275
117,362,231,295,275
118,352,234,316,260
119,350,227,298,268
120,353,224,325,261
121,359,231,310,278
122,351,239,315,262
123,333,238,314,264
124,343,226,319,266
125,348,232,321,263
126,341,243,303,274
127,342,245,322,271
128,344,237,307,254
129,340,239,334,249
130,342,229,310,271
131,344,239,324,257
132,359,216,311,261
133,343,235,323,267
134,338,239,316,259
135,353,232,317,250
136,340,237,320,255
137,340,220,316,272
138,338,231,326,267
139,351,223,320,262
140,345,224,308,257
141,356,220,324,259
142,326,240,322,272
143,341,238,311,261
144,330,216,323,251
145,343,232,324,253
146,351,226,319,243
147,339,226,321,244
148,330,232,332,232
149,331,252,333,251
150,345,217,338,251
151,339,236,317,243
152,330,234,333,244
153,327,233,315,241
154,317,229,314,242
155,330,229,303,240
156,332,227,312,235
157,315,230,321,235
158,328,249,310,268
159,343,226,312,250
160,324,230,303,266
161,324,241,297,272
162,337,216,321,242
163,346,227,321,265
164,330,235,294,253
165,326,231,298,242
166,345,225,304,265
167,346,215,316,258
168,342,227,292,270
169,336,238,304,253
170,317,222,305,268
171,324,227,305,267
172,349,225,321,265
173,313,240,321,267
174,332,245,323,266
175,339,233,315,271
176,342,255,304,270
177,329,234,315,254
178,341,219,309,256
179,332,242,314,263
180,354,220,312,255
181,344,232,304,266
182,340,231,315,261
183,352,211,302,268
184,355,221,317,270
185,359,220,316,259
186,340,239,309,261
187,337,226,314,257
188,348,224,318,247
189,337,240,317,247
190,357,224,324,246
191,336,231,302,258
192,342,228,312,259
193,350,240,334,247
194,337,241,316,253
195,342,230,303,252
196,339,237,322,257
197,347,234,322,248
198,345,231,311,251
199,359,225,327,258
200,330,230,321,257
201,346,225,327,241
202,326,245,325,250
203,324,238,315,235
204,338,231,345,246
205,332,242,336,252
206,329,225,311,253
207,345,230,316,254
208,334,221,310,262
209,338,241,326,261
210,330,241,317,267
211,339,233,309,250
212,325,244,317,258
213,328,221,330,261
214,340,236,319,259
215,333,240,313,272
216,339,222,308,258
217,364,228,299,281
218,342,216,313,272
219,354,230,310,265
220,347,229,305,269
221,322,224,306,259
222,327,225,306,263
223,323,223,301,243
224,309,226,320,251
225,324,233,296,258
226,336,240,309,264
227,318,239,322,243
228,338,244,335,247
229,341,250,322,232
230,344,222,304,247
231,337,238,318,252
232,358,234,299,244
233,333,241,331,232
234,333,253,333,258
235,340,234,327,251
236,329,236,315,235
237,329,242,323,237
238,340,228,325,244
239,337,241,324,239
240,338,226,325,247
241,331,218,304,262
242,343,218,322,243
243,338,246,314,274
244,334,219,322,244
245,329,226,316,254
246,346,242,308,264
247,317,248,306,252
248,331,223,319,250
249,358,236,325,256
250,340,231,317,241
251,341,240,319,251
252,326,241,331,248
253,333,239,323,251
254,326,250,328,253
255,341,248,324,254
256,334,234,324,245
257,320,240,304,241
258,326,231,324,241
259,328,246,333,240
260,322,256,325,248
261,329,253,331,253
262,327,265,337,248
263,329,237,334,252
264,322,242,335,237
265,338,247,319,262
266,347,236,325,273
267,348,242,325,275
268,341,241,338,253
269,339,236,312,264
270,335,229,310,273
271,340,233,299,270
272,332,225,324,256
273,344,244,328,282
274,356,226,316,266
275,357,229,319,261
276,338,230,309,278
277,352,223,314,260
278,338,216,311,266
279,343,228,308,269
280,340,240,316,263
281,346,244,303,263
282,332,245,319,260
283,340,226,332,245
284,343,241,311,252
285,344,221,321,251
286,342,230,323,258
287,365,219,304,271
288,353,206,309,260
289,347,217,307,261
290,345,224,306,282
291,344,233,324,257
292,333,229,302,282
293,356,224,314,264
294,361,228,320,269
295,342,224,315,266
296,340,222,294,279
297,355,241,316,269
298,348,218,297,286
299,376,207,302,261
300,339,215,310,258
301,339,227,330,269
302,344,220,321,264
303,351,200,316,258
304,355,238,319,267
305,351,226,323,260
306,335,246,318,260
307,360,219,309,276
308,360,220,322,267
309,372,208,307,272
310,361,227,309,253
311,344,224,323,268
312,339,227,311,261
313,335,232,310,259
314,331,231,306,273
315,327,249,321,264
316,338,238,316,256
317,329,233,339,251
318,344,227,309,262
319,340,228,319,249
320,331,244,310,260
321,332,237,333,242
322,328,239,323,267
323,338,240,316,248
324,332,241,315,261
325,335,228,313,263
326,344,225,301,277
327,356,230,314,260
328,336,242,326,268
329,344,224,314,278
330,353,240,329,271
331,337,234,310,263
332,329,232,333,245
333,350,242,322,260
334,321,246,334,239
335,335,237,310,251
336,318,246,319,250
337,331,238,323,243
338,322,250,327,247
339,333,247,329,259
340,337,228,337,251
341,325,252,317,247
342,344,252,333,266
343,351,225,338,258
344,336,234,309,278
345,348,234,322,254
346,339,224,328,244
347,346,225,317,264
348,348,249,310,258
349,350,233,312,264
350,351,219,304,267
351,358,229,312,275
352,345,236,308,267
353,358,221,293,265
354,354,236,299,261
355,355,227,294,263
356,341,231,312,259
357,348,227,307,263
358,359,229,298,260
359,361,230,274,267
360,335,225,304,268
361,343,249,300,256
362,344,215,304,245
363,345,220,303,270
364,340,219,300,259
365,330,224,292,265
366,345,233,307,265
367,346,219,308,264
368,360,238,326,255
369,328,231,316,254
370,348,240,326,257
371,322,255,333,252
372,345,243,318,249
373,353,237,303,255
374,357,235,311,266
375,352,219,320,251
376,364,221,307,259
377,326,246,307,268
378,333,220,326,245
379,346,214,321,265
380,347,248,330,259
381,341,234,308,243
382,340,235,328,257
383,348,233,321,248
384,331,241,310,257
385,334,245,303,257
386,339,226,313,241
387,360,216,318,255
388,320,245,305,265
389,352,218,305,257
390,363,239,329,250
391,344,236,312,273
392,346,235,311,264
393,326,245,316,271
394,342,223,327,255
395,342,230,318,262
396,350,240,323,249
397,328,249,311,256
398,326,240,312,257
399,336,236,318,269
400,350,229,327,250
401,342,250,328,258
402,350,242,325,248
403,348,225,316,257
404,327,230,307,266
405,333,238,296,282
406,361,225,314,275
407,337,227,303,269
408,350,232,318,267
409,351,249,311,268
410,339,235,303,258
411,346,221,305,260
412,354,227,308,275
413,361,229,318,267
414,354,220,317,250
415,332,234,313,257
416,337,219,317,259
417,341,215,308,262
418,346,224,310,243
419,347,228,300,249
420,356,221,295,254
421,338,245,293,262
422,342,224,307,253
423,333,225,304,248
424,330,228,308,270
425,337,235,302,248
426,360,229,300,268
427,355,210,302,263
428,334,238,301,251
429,353,235,331,260
430,346,234,302,265
431,350,211,295,264
432,356,212,299,258
433,355,226,303,256
434,342,217,300,255
435,342,231,303,266
436,327,221,303,266
437,355,234,323,250
438,348,235,320,258
439,351,231,300,266
440,342,239,316,254
441,340,248,318,254
442,348,223,318,257
443,344,247,311,255
444,339,234,313,248
445,343,228,331,246
446,326,257,307,261
447,326,243,309,255
448,337,241,314,260
449,350,237,311,267
450,342,245,313,272
451,352,232,310,263
452,346,223,301,267
453,364,228,311,260
454,337,228,327,251
455,347,222,328,258
456,347,214,330,251
457,333,240,305,257
458,346,227,333,253
459,340,254,318,250
460,340,248,318,245
461,318,252,317,249
462,350,244,329,242
463,345,250,312,266
464,325,250,326,246
465,332,252,326,239
466,330,251,318,238
467,319,257,330,261
468,337,242,328,248
469,327,254,319,250
470,334,260,334,249
471,335,241,324,245
472,348,239,321,241
473,333,243,305,272
474,327,246,324,253
475,358,231,341,263
476,339,244,320,256
477,353,242,320,249
478,343,244,313,261
479,349,227,305,270
480,351,230,318,270
481,337,244,305,256
482,355,223,300,265
483,347,231,303,241
484,356,219,295,266
485,352,230,302,261
486,350,209,281,257
487,345,223,305,252
488,340,217,303,276
489,343,213,285,266
490,338,226,308,267
491,353,223,305,254
492,326,227,297,262
493,331,231,302,267
494,350,223,312,255
495,341,227,314,266
496,332,239,278,260
497,346,231,310,251
498,351,253,322,248
499,336,233,312,239
500,327,240,314,256
501,339,247,302,245
502,349,228,325,238
503,350,230,328,252
504,347,236,316,235
505,335,249,331,244
506,339,248,306,242
507,347,225,314,254
508,339,254,316,252
509,353,234,317,241
510,342,251,325,255
511,315,249,329,260
512,328,246,310,253
513,332,235,326,247
514,343,250,320,241
515,341,251,309,250
516,354,248,317,255
517,338,244,328,249
518,336,252,307,241
519,352,240,311,261
520,326,247,318,248
521,346,252,324,253
522,343,229,313,249
523,342,232,319,258
524,349,229,316,255
525,327,256,312,253
526,349,239,311,240
527,337,228,312,249
528,340,237,310,246
529,341,230,311,259
530,342,241,305,259
531,345,231,313,241
532,347,240,331,238
533,340,233,320,252
534,358,242,323,254
535,350,258,320,254
536,322,256,323,252
537,340,220,322,247
538,332,232,322,251
539,317,265,328,244
540,331,244,322,245
541,341,257,328,257
542,325,269,332,242
543,326,259,328,268
544,320,268,326,263
545,335,264,321,240
546,331,259,345,246
547,320,261,304,256
548,335,243,329,243
549,345,243,329,240
550,347,249,329,242
551,349,238,328,265
552,330,252,315,245
553,335,238,326,240
554,343,238,320,262
555,334,237,334,255
556,338,251,323,240
557,347,235,326,243
558,335,244,330,241
559,316,246,329,252
560,328,241,325,243
561,329,248,314,245
562,323,253,314,253
563,338,240,320,237
564,312,243,327,244
565,339,240,326,230
566,332,255,310,247
567,351,250,334,253
568,350,235,306,258
569,333,226,334,237
570,334,247,301,276
571,344,233,313,250
572,330,233,333,227
573,327,241,312,252
574,334,241,314,253
575,335,241,310,256
576,330,238,321,251
577,315,246,329,252
578,333,250,337,235
579,333,244,313,258
580,337,246,331,248
581,324,238,328,254
582,320,225,319,245
583,321,266,323,251
584,349,226,320,255
585,341,232,322,252
586,335,227,316,261
587,332,235,313,254
588,347,232,316,270
589,332,242,325,257
590,324,241,336,252
591,337,228,318,264
592,345,224,313,275
593,344,231,311,273
594,355,225,313,272
595,332,238,321,274
596,342,235,326,271
597,365,240,320,276
598,327,229,315,260
599,341,229,310,256
600,348,229,314,271
601,332,229,316,267
602,349,235,320,252
603,340,220,323,254
604,330,254,317,269
605,319,264,327,273
606,342,232,318,250
607,348,231,313,257
608,340,243,322,255
609,313,253,334,258
610,316,237,302,266
611,342,236,336,260
612,338,238,327,261
613,345,244,340,271
614,325,257,328,250
615,346,254,317,274
616,336,261,332,260
617,342,235,337,252
618,330,250,331,256
619,342,245,331,259
620,321,225,320,246
621,321,251,327,246
622,327,241,322,242
623,338,224,345,242
624,321,258,342,250
625,320,259,317,252
626,325,252,328,254
627,332,242,331,257
628,320,251,329,243
629,324,256,323,240
630,332,250,328,259
631,324,244,314,260
632,318,254,316,257
633,328,249,332,260
634,325,245,325,259
635,336,238,327,238
636,317,241,322,252
637,340,236,326,254
638,317,237,328,267
639,341,238,328,251
640,328,239,325,260
641,327,225,328,265
642,336,240,328,262
643,328,239,315,260
644,346,223,318,250
645,339,233,341,257
646,331,235,311,246
647,326,233,321,279
648,342,220,328,258
649,343,228,323,259
650,333,226,314,248
651,331,230,306,282
652,349,211,318,236
653,333,225,322,259
654,349,223,305,276
655,348,221,321,265
656,348,237,321,263
657,346,221,314,257
658,338,228,309,260
659,354,234,307,275
660,345,216,308,278
661,350,214,311,259
662,361,221,306,271
663,344,224,310,277
664,342,234,328,271
665,345,225,296,277
666,342,234,305,275
667,354,220,308,271
668,351,228,321,262
669,356,227,315,255
670,348,231,307,262
671,347,227,320,266
672,354,215,319,261
673,335,246,308,261
674,331,246,314,263
675,359,233,315,276
676,357,220,322,263
677,359,223,311,270
678,366,231,315,269
679,349,230,313,270
680,350,225,300,276
681,346,223,308,270
682,361,215,296,277
683,356,213,309,262
684,345,235,305,273
685,344,217,313,266
686,353,234,304,284
687,352,223,312,270
688,361,233,312,263
689,334,227,324,256
690,348,227,315,258
691,334,227,317,254
692,343,239,317,262
693,328,241,302,262
694,352,218,317,265
695,347,216,303,266
696,346,226,316,251
697,332,223,302,275
698,339,224,293,267
699,333,225,310,268
700,345,230,319,258
701,332,223,302,284
702,349,229,323,257
703,338,221,318,261
704,352,215,322,254
705,339,231,324,261
706,336,226,313,259
707,357,234,316,262
708,338,231,317,260
709,343,245,322,273
710,361,213,322,248
711,351,229,317,273
712,355,237,311,276
713,334,240,306,275
714,334,234,320,253
715,358,240,325,250
716,333,239,310,260
717,352,212,323,252
718,355,222,313,268
719,358,226,310,274
720,335,222,300,271
721,346,242,312,269
722,361,236,316,257
723,361,221,306,273
724,348,232,304,258
725,338,239,302,257
726,340,234,309,271
727,345,233,304,259
728,338,224,298,250
729,352,229,307,267
730,331,245,292,248
731,340,219,323,243
732,366,221,315,261
733,329,207,302,246
734,328,227,324,246
735,344,228,309,261
736,339,220,308,253
737,339,236,324,264
738,359,234,328,265
739,347,211,337,266
740,344,230,309,267
741,367,215,309,257
742,334,238,298,274
743,359,209,297,269
744,355,228,305,265
745,356,234,297,262
746,358,213,311,251
747,338,222,326,262
748,336,225,289,284
749,351,238,306,284
750,364,224,314,266
751,349,227,310,267
752,360,224,326,271
753,358,230,302,272
754,343,242,313,249
755,339,243,321,254
756,332,237,319,246
757,333,243,330,253
758,329,253,323,265
759,326,257,307,262
760,326,256,324,256
761,336,252,335,246
762,338,250,319,248
763,342,236,335,257
764,337,242,318,255
765,340,243,332,239
766,322,245,312,256
767,343,246,334,255
768,335,263,317,272
769,330,251,335,246
770,340,235,318,244
771,345,238,326,264
772,336,237,295,250
773,333,235,309,271
774,327,239,318,261
775,333,233,336,247
776,335,250,328,256
