,Time (µs),Radius (nm)
0,0.0,8.250695
1,0.01,8.11693
2,0.02,7.8656526
3,0.03,7.901902
4,0.04,7.8754845
5,0.05,7.8105574
6,0.06,7.738698
7,0.07,7.667347
8,0.08,7.749629
9,0.09,7.6993423
10,0.1,7.761523
11,0.11,7.720643
12,0.12,7.6491766
13,0.13,7.751077
14,0.14,7.607418
15,0.15,7.4426026
16,0.16,7.5433264
17,0.17,7.528781
18,0.18,7.7635574
19,0.19,7.830533
20,0.2,7.6395097
21,0.21,7.5929003
22,0.22,7.832167
23,0.23,7.671355
24,0.24,7.6387787
25,0.25,7.7156916
26,0.26,7.8311477
27,0.27,8.011658
28,0.28,7.8803253
29,0.29,7.769517
30,0.3,7.745385
31,0.31,7.887478
32,0.32,7.809817
33,0.33,7.622442
34,0.34,7.8293433
35,0.35,7.8566475
36,0.36,7.9384484
37,0.37,7.7358193
38,0.38,7.724534
39,0.39,7.804099
40,0.4,7.741445
41,0.41,7.7438173
42,0.42,7.7122755
43,0.43,7.8428774
44,0.44,7.763343
45,0.45,7.6872168
46,0.46,7.6817656
47,0.47,7.692763
48,0.48,7.6320677
49,0.49,7.731191
50,0.5,7.7743874
51,0.51,7.732547
52,0.52,7.7493157
53,0.53,7.691575
54,0.54,7.8801603
55,0.55,7.669301
56,0.56,7.6521096
57,0.57,7.613392
58,0.58,7.609043
59,0.59,7.602308
60,0.6,7.579085
61,0.61,7.4172387
62,0.62,7.704013
63,0.63,7.8321295
64,0.64,7.665477
65,0.65,7.657584
66,0.66,7.8144217
67,0.67,7.9654417
68,0.68,7.704543
69,0.69,7.6894317
70,0.7,7.699088
71,0.71,7.7558775
72,0.72,7.8043303
73,0.73,7.8194876
74,0.74,7.62368
75,0.75,7.6995134
76,0.76,7.556102
77,0.77,7.829259
78,0.78,7.6911454
79,0.79,7.730666
80,0.8,7.678096
81,0.81,7.6683416
82,0.82,7.648082
83,0.83,7.59685
84,0.84,7.650697
85,0.85,7.7277923
86,0.86,7.7694654
87,0.87,7.8083754
88,0.88,7.698867
89,0.89,7.7403994
90,0.9,7.7688956
91,0.91,7.796618
92,0.92,7.859231
93,0.93,7.859885
94,0.94,7.7160177
95,0.95,7.630765
96,0.96,7.5916395
97,0.97,7.736013
98,0.98,7.651634
99,0.99,7.712056
100,1.0,7.636228
101,1.01,7.7162313
102,1.02,7.6981177
103,1.03,7.7660856
104,1.04,7.7483497
105,1.05,7.682499
106,1.06,7.5552583
107,1.07,7.679412
108,1.08,7.7086205
109,1.09,7.6949434
110,1.1,7.9067597
111,1.11,7.806459
112,1.12,7.67573
113,1.13,7.6550217
114,1.14,7.738782
115,1.15,7.7805815
116,1.16,7.671788
117,1.17,7.8353653
118,1.18,7.977122
119,1.19,7.7796493
120,1.2,7.636695
121,1.21,7.949731
122,1.22,7.755822
123,1.23,7.9773917
124,1.24,7.5357842
125,1.25,7.5398483
126,1.26,7.7341194
127,1.27,7.849122
