,DOPC Outer,DOPC Inner,POPC Outer,POPC Inner
1,1439,1196,1426,1202
2,1407,1228,1439,1189
3,1425,1210,1420,1208
4,1449,1186,1421,1207
5,1408,1227,1422,1206
6,1423,1212,1433,1195
7,1401,1234,1442,1186
8,1401,1234,1425,1203
9,1423,1212,1448,1180
10,1428,1207,1450,1178
11,1396,1239,1434,1194
12,1416,1219,1448,1180
13,1433,1202,1443,1185
14,1400,1235,1434,1194
15,1416,1219,1422,1206
16,1413,1222,1433,1195
17,1395,1240,1443,1185
18,1404,1231,1457,1171
19,1403,1232,1439,1189
20,1401,1234,1428,1200
21,1426,1209,1467,1161
22,1424,1211,1402,1226
23,1439,1196,1436,1192
24,1422,1213,1444,1184
25,1408,1227,1402,1226
26,1410,1225,1431,1197
27,1391,1244,1423,1205
28,1421,1214,1409,1219
29,1402,1233,1420,1208
30,1431,1204,1423,1205
31,1434,1201,1419,1209
32,1408,1227,1390,1238
33,1422,1213,1434,1194
34,1428,1207,1395,1233
35,1390,1245,1417,1211
36,1398,1237,1411,1217
37,1405,1230,1435,1193
38,1397,1238,1407,1221
39,1387,1248,1427,1201
40,1420,1215,1430,1198
41,1403,1232,1444,1184
42,1413,1222,1435,1193
43,1401,1234,1419,1209
44,1414,1221,1416,1212
45,1393,1242,1420,1208
46,1406,1229,1412,1216
47,1402,1233,1414,1214
48,1429,1206,1421,1207
49,1407,1228,1430,1198
50,1410,1225,1427,1201
51,1392,1243,1430,1198
52,1439,1196,1409,1219
53,1407,1228,1428,1200
54,1459,1176,1432,1196
55,1405,1230,1408,1220
56,1416,1219,1430,1198
57,1435,1200,1427,1201
58,1426,1209,1409,1219
59,1435,1200,1416,1212
60,1410,1225,1416,1212
61,1451,1184,1412,1216
62,1421,1214,1393,1235
63,1432,1203,1438,1190
64,1423,1212,1406,1222
65,1421,1214,1415,1213
66,1407,1228,1417,1211
67,1443,1192,1418,1210
68,1387,1248,1409,1219
69,1410,1225,1417,1211
70,1450,1185,1435,1193
71,1428,1207,1443,1185
72,1405,1230,1410,1218
73,1417,1218,1426,1202
74,1431,1204,1416,1212
75,1415,1220,1426,1202
76,1414,1221,1420,1208
77,1419,1216,1451,1177
78,1413,1222,1446,1182
79,1437,1198,1429,1199
80,1410,1225,1442,1186
81,1435,1200,1430,1198
82,1402,1233,1392,1236
83,1415,1220,1413,1215
84,1446,1189,1440,1188
85,1447,1188,1425,1203
86,1431,1204,1375,1253
87,1437,1198,1426,1202
88,1431,1204,1415,1213
89,1438,1197,1412,1216
90,1420,1215,1400,1228
91,1465,1170,1423,1205
92,1429,1206,1402,1226
93,1438,1197,1444,1184
94,1427,1208,1410,1218
95,1444,1191,1399,1229
96,1428,1207,1440,1188
97,1423,1212,1421,1207
98,1407,1228,1378,1250
99,1424,1211,1383,1245
100,1417,1218,1401,1227
