,POPC Outer,POPC Inner,POPE Outer,POPE Inner
1,2765,2551,2744,2586
2,2824,2492,2789,2541
3,2785,2531,2753,2577
4,2746,2570,2770,2560
5,2762,2554,2748,2582
6,2786,2530,2804,2526
7,2750,2566,2728,2602
8,2765,2551,2747,2583
9,2785,2531,2771,2559
10,2789,2527,2750,2580
11,2778,2538,2746,2584
12,2808,2508,2782,2548
13,2774,2542,2727,2603
14,2771,2545,2745,2585
15,2747,2569,2752,2578
16,2784,2532,2790,2540
17,2804,2512,2778,2552
18,2781,2535,2746,2584
19,2807,2509,2766,2564
20,2794,2522,2766,2564
21,2803,2513,2768,2562
22,2772,2544,2722,2608
23,2795,2521,2781,2549
24,2807,2509,2738,2592
25,2800,2516,2728,2602
26,2801,2515,2755,2575
27,2771,2545,2737,2593
28,2772,2544,2750,2580
29,2771,2545,2776,2554
30,2809,2507,2773,2557
31,2778,2538,2741,2589
32,2771,2545,2755,2575
33,2742,2574,2786,2544
34,2766,2550,2766,2564
35,2768,2548,2751,2579
36,2773,2543,2755,2575
37,2805,2511,2763,2567
38,2779,2537,2774,2556
39,2805,2511,2722,2608
40,2816,2500,2795,2535
41,2777,2539,2806,2524
42,2782,2534,2726,2604
43,2827,2489,2744,2586
44,2826,2490,2748,2582
45,2811,2505,2764,2566
46,2857,2459,2777,2553
47,2787,2529,2744,2586
48,2793,2523,2770,2560
49,2786,2530,2778,2552
50,2804,2512,2738,2592
51,2761,2555,2765,2565
52,2764,2552,2749,2581
53,2810,2506,2767,2563
54,2785,2531,2765,2565
55,2820,2496,2819,2511
56,2796,2520,2760,2570
57,2778,2538,2756,2574
58,2791,2525,2713,2617
59,2791,2525,2799,2531
60,2771,2545,2736,2594
61,2776,2540,2764,2566
62,2839,2477,2768,2562
63,2821,2495,2706,2624
64,2759,2557,2739,2591
65,2798,2518,2736,2594
66,2812,2504,2744,2586
67,2790,2526,2748,2582
68,2815,2501,2743,2587
69,2814,2502,2726,2604
70,2763,2553,2720,2610
71,2781,2535,2749,2581
72,2825,2491,2777,2553
73,2834,2482,2725,2605
74,2865,2451,2770,2560
75,2828,2488,2757,2573
76,2801,2515,2743,2587
77,2790,2526,2764,2566
78,2816,2500,2756,2574
79,2802,2514,2758,2572
80,2833,2483,2747,2583
81,2833,2483,2741,2589
82,2768,2548,2780,2550
83,2770,2546,2719,2611
84,2789,2527,2734,2596
85,2794,2522,2689,2641
86,2794,2522,2787,2543
87,2764,2552,2734,2596
88,2768,2548,2756,2574
89,2807,2509,2770,2560
90,2777,2539,2790,2540
91,2780,2536,2749,2581
92,2799,2517,2762,2568
93,2780,2536,2782,2548
94,2827,2489,2780,2550
95,2795,2521,2750,2580
96,2782,2534,2758,2572
97,2825,2491,2815,2515
98,2811,2505,2767,2563
99,2774,2542,2779,2551
100,2820,2496,2727,2603
101,2812,2504,2763,2567
102,2831,2485,2788,2542
103,2814,2502,2735,2595
104,2786,2530,2772,2558
105,2807,2509,2750,2580
106,2792,2524,2727,2603
107,2825,2491,2766,2564
108,2786,2530,2734,2596
109,2762,2554,2749,2581
110,2841,2475,2737,2593
111,2798,2518,2729,2601
112,2785,2531,2751,2579
113,2788,2528,2765,2565
114,2793,2523,2720,2610
115,2798,2518,2775,2555
116,2804,2512,2749,2581
117,2786,2530,2759,2571
118,2781,2535,2731,2599
119,2818,2498,2704,2626
120,2797,2519,2719,2611
121,2802,2514,2749,2581
122,2812,2504,2714,2616
123,2768,2548,2753,2577
124,2760,2556,2734,2596
125,2782,2534,2754,2576
126,2775,2541,2763,2567
127,2811,2505,2772,2558
128,2777,2539,2792,2538
129,2797,2519,2758,2572
130,2778,2538,2741,2589
131,2770,2546,2744,2586
