,POPC Outer,POPC Inner,POPE Outer,POPE Inner
1,1409,1218,1401,1224
2,1435,1192,1422,1203
3,1435,1192,1430,1195
4,1410,1217,1452,1173
5,1398,1229,1431,1194
6,1457,1170,1453,1172
7,1445,1182,1433,1192
8,1431,1196,1431,1194
9,1442,1185,1410,1215
10,1416,1211,1389,1236
11,1414,1213,1434,1191
12,1420,1207,1412,1213
13,1425,1202,1408,1217
14,1429,1198,1417,1208
15,1488,1139,1433,1192
16,1446,1181,1392,1233
17,1437,1190,1376,1249
18,1415,1212,1396,1229
19,1439,1188,1390,1235
20,1435,1192,1431,1194
21,1400,1227,1390,1235
22,1429,1198,1418,1207
23,1465,1162,1404,1221
24,1465,1162,1385,1240
25,1429,1198,1411,1214
26,1423,1204,1377,1248
27,1447,1180,1380,1245
28,1413,1214,1413,1212
29,1442,1185,1424,1201
30,1403,1224,1378,1247
31,1440,1187,1408,1217
32,1435,1192,1399,1226
33,1442,1185,1396,1229
34,1446,1181,1374,1251
35,1469,1158,1389,1236
36,1464,1163,1369,1256
37,1441,1186,1386,1239
38,1461,1166,1385,1240
39,1472,1155,1385,1240
40,1455,1172,1357,1268
41,1463,1164,1384,1241
42,1480,1147,1345,1280
43,1479,1148,1372,1253
44,1478,1149,1378,1247
45,1454,1173,1381,1244
46,1490,1137,1376,1249
47,1463,1164,1395,1230
48,1429,1198,1380,1245
49,1478,1149,1396,1229
50,1460,1167,1426,1199
51,1457,1170,1376,1249
52,1460,1167,1407,1218
53,1451,1176,1401,1224
54,1426,1201,1376,1249
55,1452,1175,1407,1218
56,1457,1170,1411,1214
57,1466,1161,1369,1256
58,1474,1153,1378,1247
59,1455,1172,1381,1244
60,1443,1184,1394,1231
61,1439,1188,1366,1259
62,1438,1189,1396,1229
63,1456,1171,1393,1232
64,1434,1193,1395,1230
65,1453,1174,1394,1231
66,1460,1167,1385,1240
67,1461,1166,1405,1220
68,1448,1179,1364,1261
69,1506,1121,1363,1262
70,1493,1134,1372,1253
71,1454,1173,1369,1256
72,1480,1147,1370,1255
73,1447,1180,1386,1239
74,1486,1141,1354,1271
75,1470,1157,1372,1253
76,1479,1148,1384,1241
77,1482,1145,1349,1276
78,1459,1168,1344,1281
79,1494,1133,1351,1274
80,1464,1163,1343,1282
81,1475,1152,1350,1275
82,1500,1127,1380,1245
83,1504,1123,1347,1278
84,1469,1158,1337,1288
85,1501,1126,1379,1246
86,1477,1150,1364,1261
87,1493,1134,1394,1231
88,1462,1165,1364,1261
89,1499,1128,1344,1281
90,1484,1143,1371,1254
91,1471,1156,1357,1268
92,1485,1142,1374,1251
93,1471,1156,1367,1258
94,1467,1160,1379,1246
95,1481,1146,1386,1239
96,1458,1169,1350,1275
97,1481,1146,1375,1250
98,1464,1163,1375,1250
99,1487,1140,1365,1260
100,1494,1133,1348,1277
101,1501,1126,1344,1281
