,POPC Outer,POPC Inner,POPE Outer,POPE Inner
1,367,343,398,315
2,391,319,422,291
3,364,346,407,306
4,398,312,409,304
5,393,317,409,304
6,390,320,412,301
7,399,311,392,321
8,397,313,404,309
9,410,300,431,282
10,388,322,403,310
11,391,319,391,322
12,387,323,417,296
13,400,310,383,330
14,402,308,403,310
15,406,304,398,315
16,392,318,389,324
17,396,314,407,306
18,400,310,403,310
19,400,310,403,310
20,401,309,412,301
21,392,318,412,301
22,396,314,412,301
23,400,310,409,304
24,398,312,405,308
25,415,295,406,307
26,401,309,397,316
27,416,294,397,316
28,409,301,392,321
29,407,303,385,328
30,413,297,415,298
31,406,304,395,318
32,413,297,389,324
33,405,305,393,320
34,382,328,399,314
35,417,293,410,303
36,398,312,402,311
37,391,319,396,317
38,398,312,403,310
39,391,319,415,298
40,398,312,406,307
41,401,309,402,311
42,403,307,407,306
43,393,317,406,307
44,404,306,393,320
45,412,298,387,326
46,392,318,421,292
47,406,304,401,312
48,399,311,404,309
49,405,305,395,318
50,393,317,392,321
51,391,319,394,319
52,415,295,393,320
53,397,313,396,317
54,410,300,396,317
55,412,298,395,318
56,405,305,393,320
57,420,290,377,336
58,407,303,386,327
59,403,307,397,316
60,384,326,395,318
61,395,315,393,320
62,396,314,409,304
63,411,299,399,314
64,399,311,378,335
65,410,300,389,324
66,405,305,393,320
67,406,304,397,316
68,404,306,397,316
69,404,306,407,306
70,386,324,390,323
71,397,313,378,335
72,406,304,389,324
73,420,290,393,320
74,412,298,411,302
75,408,302,390,323
76,402,308,378,335
77,411,299,385,328
78,412,298,382,331
79,411,299,391,322
80,423,287,387,326
81,402,308,396,317
82,397,313,403,310
83,403,307,388,325
84,413,297,388,325
85,400,310,395,318
86,409,301,384,329
87,398,312,392,321
88,426,284,391,322
89,414,296,387,326
90,427,283,379,334
91,419,291,395,318
92,415,295,404,309
93,414,296,383,330
94,430,280,379,334
95,419,291,380,333
96,415,295,378,335
97,429,281,367,346
98,416,294,383,330
99,410,300,360,353
100,419,291,374,339
101,419,291,383,330
102,421,289,369,344
103,421,289,381,332
104,413,297,374,339
105,418,292,391,322
106,410,300,379,334
107,423,287,363,350
108,432,278,378,335
109,425,285,363,350
110,434,276,380,333
111,437,273,364,349
112,430,280,374,339
113,432,278,379,334
114,422,288,370,343
115,420,290,364,349
116,419,291,370,343
117,415,295,371,342
118,414,296,380,333
119,421,289,372,341
120,421,289,390,323
121,412,298,367,346
122,406,304,385,328
123,408,302,389,324
124,417,293,385,328
125,419,291,393,320
126,411,299,382,331
127,407,303,385,328
128,413,297,385,328
129,409,301,396,317
130,422,288,373,340
131,409,301,379,334
132,425,285,372,341
133,418,292,389,324
134,414,296,377,336
135,424,286,397,316
136,416,294,385,328
137,429,281,370,343
138,417,293,383,330
139,427,283,388,325
140,419,291,386,327
141,431,279,393,320
142,398,312,385,328
143,406,304,378,335
144,420,290,388,325
145,420,290,400,313
146,422,288,400,313
147,416,294,397,316
148,412,298,407,306
149,392,318,403,310
150,419,291,406,307
151,412,298,394,319
152,400,310,401,312
153,398,312,389,324
154,402,308,401,312
155,403,307,395,318
156,408,302,396,317
157,389,321,407,306
158,393,317,384,329
159,417,293,397,316
160,405,305,382,331
161,414,296,372,341
162,421,289,398,315
163,426,284,377,336
164,392,318,377,336
165,409,301,394,319
166,420,290,387,326
167,423,287,382,331
168,414,296,363,350
