,Time (µs),Radius (nm)
0,0.0,9.017537
1,0.01,8.964331
2,0.02,8.992357
3,0.03,8.949804
4,0.04,8.808734
5,0.05,8.890902
6,0.06,8.996582
7,0.07,8.981909
8,0.08,8.881624
9,0.09,8.980343
10,0.1,8.83209
11,0.11,8.912695
12,0.12,8.774787
13,0.13,8.814336
14,0.14,8.809934
15,0.15,8.886912
16,0.16,8.8152895
17,0.17,8.785902
18,0.18,8.921972
19,0.19,8.815798
20,0.2,8.862579
21,0.21,8.708801
22,0.22,8.925787
23,0.23,8.890415
24,0.24,8.970457
25,0.25,8.865609
26,0.26,8.82715
27,0.27,8.733852
28,0.28,8.795722
29,0.29,8.826656
30,0.3,8.89131
31,0.31,8.851074
32,0.32,8.8589735
33,0.33,8.814459
34,0.34,8.859675
35,0.35,8.87644
36,0.36,8.831804
37,0.37,8.8365345
38,0.38,8.898656
39,0.39,8.964979
40,0.4,8.948168
41,0.41,8.875415
42,0.42,8.734396
43,0.43,8.732722
44,0.44,8.930523
45,0.45,8.70899
46,0.46,8.730614
47,0.47,8.762177
48,0.48,8.686601
49,0.49,8.73163
50,0.5,8.717787
51,0.51,8.78183
52,0.52,8.804324
53,0.53,8.811578
54,0.54,8.894878
55,0.55,8.673479
56,0.56,8.701637
57,0.57,8.819631
58,0.58,8.72867
59,0.59,8.8717785
60,0.6,8.7054
61,0.61,8.8554325
62,0.62,8.585021
63,0.63,8.651162
64,0.64,8.682291
65,0.65,8.703665
66,0.66,8.759535
67,0.67,8.700987
68,0.68,8.6559725
69,0.69,8.733365
70,0.7,8.739004
71,0.71,8.677057
72,0.72,8.6670265
73,0.73,8.823145
74,0.74,8.719484
75,0.75,8.868921
76,0.76,8.701946
77,0.77,8.801985
78,0.78,8.776214
79,0.79,8.7510605
80,0.8,8.76666
81,0.81,8.681005
82,0.82,8.747039
83,0.83,8.764103
84,0.84,8.729791
85,0.85,8.654306
86,0.86,8.850103
87,0.87,8.749514
88,0.88,8.730827
89,0.89,8.680021
90,0.9,8.619884
91,0.91,8.746048
92,0.92,8.659502
93,0.93,8.639152
94,0.94,8.694889
95,0.95,8.678813
96,0.96,8.769408
97,0.97,8.573389
98,0.98,8.863489
99,0.99,8.662389
100,1.0,8.618006
101,1.01,8.6414585
102,1.02,8.677425
103,1.03,8.694198
104,1.04,8.8698635
105,1.05,8.747733
106,1.06,8.563312
107,1.07,8.688387
108,1.08,8.696545
109,1.09,8.719496
110,1.1,8.787677
111,1.11,8.762545
112,1.12,8.883522
113,1.13,8.672086
114,1.14,8.594416
115,1.15,8.715008
116,1.16,8.781695
117,1.17,8.652029
118,1.18,8.601713
119,1.19,8.657112
120,1.2,8.642754
121,1.21,8.614692
122,1.22,8.722364
123,1.23,8.627044
124,1.24,8.851572
125,1.25,8.734367
126,1.26,8.717277
127,1.27,8.784753
128,1.28,8.687202
129,1.29,8.84392
130,1.3,8.609324
131,1.31,8.515115
132,1.32,8.653124
133,1.33,8.748307
134,1.34,8.636148
135,1.35,8.521166
136,1.36,8.75559
137,1.37,8.619384
138,1.38,8.609997
139,1.39,8.706634
140,1.4,8.741402
141,1.41,8.432672
142,1.42,8.668428
143,1.43,8.675959
144,1.44,8.803746
145,1.45,8.739152
146,1.46,8.80029
147,1.47,8.612284
148,1.48,8.592675
149,1.49,8.67378
150,1.5,8.878719
151,1.51,8.84414
152,1.52,8.556897
153,1.53,8.663439
154,1.54,8.665088
155,1.55,8.546534
156,1.56,8.666373
157,1.57,8.856113
158,1.58,8.888075
159,1.59,8.840785
160,1.6,8.703261
161,1.61,8.505444
162,1.62,8.50329
163,1.63,8.423456
164,1.64,8.720772
165,1.65,8.656092
166,1.66,8.572477
167,1.67,8.735537
168,1.68,8.741889
169,1.69,8.946277
170,1.7,8.832511
171,1.71,8.494875
172,1.72,8.641221
173,1.73,8.709852
174,1.74,8.772945
175,1.75,8.638212
176,1.76,8.535578
177,1.77,8.597665
178,1.78,8.520617
179,1.79,8.739118
180,1.8,8.670186
181,1.81,8.684817
182,1.82,8.853211
183,1.83,8.571247
184,1.84,8.834618
185,1.85,8.693882
186,1.86,8.750876
187,1.87,8.723718
188,1.88,8.753391
189,1.89,8.732772
190,1.9,8.634083
191,1.91,8.908085
192,1.92,8.803659
193,1.93,8.849659
194,1.94,8.980711
195,1.95,8.678061
196,1.96,8.441986
197,1.97,8.675273
198,1.98,8.615778
199,1.99,8.672638
200,2.0,8.656115
201,2.01,8.648208
202,2.02,8.588487
203,2.03,8.761644
204,2.04,8.8084
205,2.05,8.636561
206,2.06,8.721565
207,2.07,8.74889
208,2.08,8.680936
209,2.09,8.792959
210,2.1,8.72651
211,2.11,8.943754
212,2.12,8.7983
213,2.13,8.870934
214,2.14,8.86939
215,2.15,8.990241
216,2.16,8.61112
217,2.17,8.736707
218,2.18,8.808651
219,2.19,8.898679
220,2.2,8.886444
221,2.21,8.820074
222,2.22,8.792891
223,2.23,8.725529
224,2.24,8.703135
225,2.25,8.786559
226,2.26,8.959329
227,2.27,8.779394
228,2.28,8.610702
229,2.29,8.69452
230,2.3,8.684027
231,2.31,8.49878
232,2.32,8.554171
233,2.33,8.579764
234,2.34,8.747983
235,2.35,8.69088
236,2.36,8.874141
237,2.37,8.782483
238,2.38,8.565419
239,2.39,8.805312
240,2.4,8.86862
241,2.41,8.775644
242,2.42,8.853249
243,2.43,8.807319
244,2.44,8.942549
245,2.45,8.642228
246,2.46,8.684481
247,2.47,8.716458
248,2.48,8.786192
249,2.49,8.560148
250,2.5,8.624751
251,2.51,8.786921
252,2.52,8.581648
253,2.53,8.90534
254,2.54,8.798967
255,2.55,8.734444
256,2.56,8.685432
257,2.57,8.749678
258,2.58,8.6084585
259,2.59,8.590822
260,2.6,8.523375
261,2.61,8.574629
262,2.62,8.616053
263,2.63,8.695286
264,2.64,8.907998
265,2.65,8.533728
266,2.66,8.444345
267,2.67,8.503137
268,2.68,8.574917
269,2.69,8.50622
270,2.7,8.543299
271,2.71,8.64839
272,2.72,8.825156
273,2.73,8.679842
274,2.74,8.767317
275,2.75,8.872586
276,2.76,8.83068
277,2.77,8.979409
278,2.78,8.805087
279,2.79,9.054767
280,2.8,8.998562
