,Time (µs),Radius (nm)
0,0.0,26.46467
1,0.01,26.518711
2,0.02,26.331472
3,0.03,26.34525
4,0.04,26.241983
5,0.05,26.07013
6,0.06,26.128992
7,0.07,25.771427
8,0.08,25.847004
9,0.09,25.705566
10,0.1,25.765835
11,0.11,25.671625
12,0.12,26.002304
13,0.13,25.653925
14,0.14,25.726511
15,0.15,25.649618
16,0.16,25.576786
17,0.17,25.40543
18,0.18,25.624454
19,0.19,25.674221
20,0.2,25.463762
21,0.21,25.459585
22,0.22,25.398098
23,0.23,25.471386
24,0.24,25.350182
25,0.25,25.346016
26,0.26,25.54198
27,0.27,25.360264
28,0.28,25.362267
29,0.29,25.459467
30,0.3,25.455448
31,0.31,25.44656
32,0.32,25.440212
33,0.33,25.420712
34,0.34,25.446354
35,0.35,25.561306
36,0.36,25.604282
37,0.37,25.43182
38,0.38,25.216879
39,0.39,25.429749
40,0.4,25.297258
41,0.41,25.526363
42,0.42,25.297602
43,0.43,25.426832
44,0.44,25.521778
45,0.45,25.629206
46,0.46,25.504421
47,0.47,25.523493
48,0.48,25.413776
49,0.49,25.440617
50,0.5,25.512754
51,0.51,25.336096
52,0.52,25.704855
53,0.53,25.552668
54,0.54,25.584995
55,0.55,25.596542
56,0.56,25.574888
57,0.57,25.57323
58,0.58,25.410002
59,0.59,25.368242
60,0.6,25.593754
61,0.61,25.731781
62,0.62,25.610437
63,0.63,25.517378
64,0.64,25.40255
65,0.65,25.638905
66,0.66,25.29163
67,0.67,25.32925
68,0.68,25.427708
69,0.69,25.46253
70,0.7,25.464916
71,0.71,25.630972
72,0.72,25.371246
73,0.73,25.169518
74,0.74,25.264095
75,0.75,25.272402
76,0.76,25.649166
77,0.77,25.528784
78,0.78,25.2969
79,0.79,25.380455
80,0.8,25.105341
81,0.81,25.300787
82,0.82,25.481468
83,0.83,25.164534
84,0.84,25.292759
85,0.85,25.137968
86,0.86,25.222801
87,0.87,25.33714
88,0.88,25.424358
89,0.89,25.51413
90,0.9,25.511227
91,0.91,25.40762
92,0.92,25.443184
93,0.93,25.318361
94,0.94,25.421339
95,0.95,25.478
96,0.96,25.46707
97,0.97,25.585064
98,0.98,25.245726
99,0.99,25.281979
100,1.0,25.418919
101,1.01,25.420887
102,1.02,25.322987
103,1.03,25.618824
104,1.04,25.486761
105,1.05,25.449093
106,1.06,25.038315
107,1.07,25.117428
108,1.08,25.235233
109,1.09,25.64949
110,1.1,25.333164
111,1.11,25.298798
112,1.12,25.152195
113,1.13,25.455055
114,1.14,25.340115
115,1.15,25.3965
116,1.16,25.382896
117,1.17,25.348013
118,1.18,25.41512
119,1.19,25.253023
120,1.2,25.12787
121,1.21,25.3392
122,1.22,25.50941
123,1.23,25.193172
124,1.24,25.222193
125,1.25,25.315596
126,1.26,25.242262
127,1.27,25.264015
128,1.28,25.476633
129,1.29,25.300514
130,1.3,25.348513
131,1.31,25.372965
132,1.32,25.533642
133,1.33,25.287846
134,1.34,25.269836
135,1.35,25.448257
136,1.36,25.269377
137,1.37,25.243643
138,1.38,25.332867
139,1.39,25.496687
140,1.4,25.158
141,1.41,25.37812
142,1.42,25.309914
143,1.43,25.395416
144,1.44,25.340563
145,1.45,25.291334
146,1.46,25.27764
147,1.47,25.240656
148,1.48,25.291063
149,1.49,25.212624
150,1.5,25.314411
151,1.51,25.129997
152,1.52,25.074306
153,1.53,25.302938
154,1.54,25.209396
155,1.55,25.207033
156,1.56,25.151718
157,1.57,25.132343
158,1.58,25.359776
159,1.59,25.211304
160,1.6,25.18165
161,1.61,25.1963
162,1.62,25.127
163,1.63,25.38954
164,1.64,25.316214
165,1.65,25.238895
166,1.66,25.327854
167,1.67,25.237793
168,1.68,25.43804
169,1.69,25.388111
170,1.7,25.193584
171,1.71,25.328032
172,1.72,25.308933
173,1.73,25.166616
174,1.74,25.172466
175,1.75,25.21847
176,1.76,25.30605
177,1.77,24.949718
178,1.78,25.27824
179,1.79,25.09287
180,1.8,25.159794
181,1.81,25.226828
182,1.82,25.129578
183,1.83,25.293228
184,1.84,25.277237
185,1.85,25.286917
186,1.86,25.2217
187,1.87,25.329155
188,1.88,25.362246
189,1.89,25.12896
190,1.9,25.239162
191,1.91,25.446232
192,1.92,25.08796
193,1.93,25.417646
194,1.94,25.320381
195,1.95,25.154673
196,1.96,25.11788
197,1.97,25.286404
198,1.98,25.265526
199,1.99,25.164019
200,2.0,25.13694
201,2.01,25.12803
202,2.02,25.23711
203,2.03,25.194963
204,2.04,25.263489
205,2.05,25.236269
206,2.06,25.342724
207,2.07,25.26958
208,2.08,25.034466
209,2.09,25.087225
210,2.1,25.232557
211,2.11,25.081257
212,2.12,24.931131
213,2.13,25.306408
214,2.14,25.218552
215,2.15,24.919847
216,2.16,25.025434
217,2.17,25.207478
218,2.18,25.13244
219,2.19,25.187029
220,2.2,25.238377
221,2.21,25.199316
222,2.22,25.308878
223,2.23,25.200115
224,2.24,25.347467
225,2.25,25.184528
226,2.26,25.050852
227,2.27,25.00909
228,2.28,25.214237
229,2.29,25.156342
230,2.3,25.271862
231,2.31,25.229694
232,2.32,25.104122
233,2.33,25.144499
234,2.34,25.182047
235,2.35,25.00719
236,2.36,25.115108
237,2.37,25.272999
238,2.38,25.105534
239,2.39,25.361738
240,2.4,25.330872
241,2.41,25.445728
242,2.42,24.93495
243,2.43,24.983688
244,2.44,24.878448
245,2.45,25.12447
246,2.46,24.945265
247,2.47,25.202261
248,2.48,25.053375
249,2.49,25.33485
250,2.5,25.235806
251,2.51,25.06802
252,2.52,25.110775
253,2.53,25.182953
254,2.54,25.249598
255,2.55,25.159761
256,2.56,25.072102
257,2.57,24.879036
258,2.58,24.901983
259,2.59,25.05247
260,2.6,25.031506
261,2.61,25.11275
262,2.62,25.431946
263,2.63,25.2942
264,2.64,25.18829
265,2.65,24.916895
266,2.66,25.417673
267,2.67,25.089476
268,2.68,25.02239
269,2.69,25.305416
270,2.7,25.06606
271,2.71,25.082726
272,2.72,25.277407
273,2.73,25.063473
274,2.74,25.083096
275,2.75,24.940762
276,2.76,25.063269
277,2.77,25.16393
278,2.78,25.13793
279,2.79,25.090895
280,2.8,24.990383
281,2.81,25.183565
282,2.82,25.096937
283,2.83,25.145054
284,2.84,25.207874
285,2.85,25.13151
286,2.86,24.98632
287,2.87,25.312756
288,2.88,25.153934
289,2.89,24.991423
290,2.9,25.147926
291,2.91,25.247545
292,2.92,25.074535
293,2.93,25.131989
294,2.94,25.135967
295,2.95,24.957394
296,2.96,24.99177
297,2.97,25.258585
298,2.98,25.242666
299,2.99,25.18256
300,3.0,25.13482
301,3.01,25.088337
302,3.02,25.233631
303,3.03,24.84335
304,3.04,25.040768
305,3.05,25.295713
306,3.06,25.310207
307,3.07,24.93861
308,3.08,24.840885
309,3.09,25.104628
310,3.1,25.160273
311,3.11,24.995407
312,3.12,25.112373
313,3.13,25.001179
314,3.14,25.17402
315,3.15,24.99421
316,3.16,24.930803
317,3.17,25.136175
318,3.18,24.884249
319,3.19,24.982834
320,3.2,25.126137
321,3.21,25.13897
322,3.22,24.914963
323,3.23,25.180204
324,3.24,25.155354
325,3.25,24.984898
326,3.26,25.2502
327,3.27,25.119051
328,3.28,25.23089
329,3.29,25.094925
330,3.3,24.995104
331,3.31,25.166916
332,3.32,24.951923
333,3.33,25.098808
334,3.34,25.23298
335,3.35,25.156876
336,3.36,24.96502
337,3.37,25.278301
338,3.38,25.267147
339,3.39,25.10188
340,3.4,25.302752
341,3.41,25.052084
342,3.42,24.944149
343,3.43,24.952442
344,3.44,24.954552
345,3.45,25.127712
346,3.46,24.96151
347,3.47,25.321238
348,3.48,25.111935
349,3.49,25.256184
350,3.5,25.168964
351,3.51,25.110367
352,3.52,24.831808
353,3.53,25.160397
354,3.54,24.981436
355,3.55,25.0974
356,3.56,24.980206
357,3.57,24.99487
358,3.58,25.217678
359,3.59,24.912226
360,3.6,24.781887
361,3.61,24.894241
362,3.62,24.872917
363,3.63,25.112411
364,3.64,25.14847
365,3.65,25.088285
366,3.66,25.094925
367,3.67,25.0242
368,3.68,24.969975
369,3.69,25.00469
370,3.7,25.004509
371,3.71,24.989088
372,3.72,25.045664
373,3.73,25.062222
374,3.74,25.092573
375,3.75,25.08323
376,3.76,25.130217
377,3.77,25.1974
378,3.78,25.061085
379,3.79,25.062666
380,3.8,24.89695
381,3.81,25.202497
382,3.82,25.170017
383,3.83,24.954515
384,3.84,25.047497
385,3.85,24.856663
386,3.86,25.051418
387,3.87,24.87428
388,3.88,25.119732
389,3.89,25.066488
390,3.9,24.981833
391,3.91,24.917103
392,3.92,25.035973
393,3.93,25.18055
394,3.94,25.114038
395,3.95,25.102886
396,3.96,24.817013
397,3.97,24.894009
398,3.98,24.779913
399,3.99,25.066822
400,4.0,24.905624
401,4.01,25.090485
402,4.02,24.967258
403,4.03,24.735806
404,4.04,24.954044
405,4.05,25.190945
406,4.06,25.154835
407,4.07,24.983646
408,4.08,25.14478
409,4.09,25.061668
410,4.1,25.100466
411,4.11,25.099304
412,4.12,24.942709
413,4.13,25.047075
414,4.14,24.847567
415,4.15,24.786127
416,4.16,25.097664
417,4.17,25.001556
418,4.18,25.071606
419,4.19,24.86332
420,4.2,25.14933
421,4.21,25.01785
422,4.22,24.966349
423,4.23,24.878246
424,4.24,24.848614
425,4.25,24.948004
426,4.26,25.327324
427,4.27,24.952501
428,4.28,25.037207
429,4.29,25.130959
430,4.3,25.189932
431,4.31,25.174128
432,4.32,24.965504
433,4.33,25.014082
434,4.34,25.297274
435,4.35,25.285559
436,4.36,25.099005
437,4.37,24.842834
438,4.38,24.879192
439,4.39,25.11277
440,4.4,24.994324
441,4.41,25.00709
442,4.42,25.137821
443,4.43,24.98206
444,4.44,25.001305
445,4.45,25.134586
446,4.46,24.996574
447,4.47,25.089968
448,4.48,24.995281
449,4.49,25.295212
450,4.5,24.96098
451,4.51,25.073313
452,4.52,25.202015
453,4.53,24.976683
454,4.54,24.90801
455,4.55,24.982206
456,4.56,24.824223
457,4.57,25.106297
458,4.58,25.148006
459,4.59,24.950886
460,4.6,25.07388
461,4.61,24.90025
462,4.62,25.189392
463,4.63,24.90819
464,4.64,24.84948
465,4.65,24.918669
466,4.66,24.681942
467,4.67,24.961784
468,4.68,25.02798
469,4.69,25.125837
470,4.7,24.899834
471,4.71,24.94012
472,4.72,25.044546
473,4.73,24.95406
474,4.74,25.114819
475,4.75,25.054182
476,4.76,24.936014
477,4.77,24.817394
478,4.78,24.972528
479,4.79,25.023266
480,4.8,24.910946
481,4.81,25.178524
482,4.82,25.09548
483,4.83,25.100487
484,4.84,25.016468
485,4.85,24.829147
486,4.86,25.022968
487,4.87,25.005266
488,4.88,24.941698
489,4.89,24.799963
490,4.9,24.890585
491,4.91,25.067686
492,4.92,25.062153
493,4.93,24.910368
494,4.94,24.850231
